item_id,image_id,title
63326500107,1177186936,Беговая дорожка Horizon Adventure 2 Plus
1104030000483,11628599290,Велотренажер oxygen jetн star
730009500036,6122693884,Электрическая беговая дорожка Atemi
692360500052,5682210421,Велотренажёр
27632000429,860595298,Гантели неопреновые Flexter FL92004 2 кг за шт
49213501498,1037056556,Доска для пресса ecos fitness
1123739000021,11849842800,Часы polar v800
1033615750295,11008497946,Силовой тренажер bmg-4300TC
324340500063,2807150986,Эллиптический тренажер oxygen alabama
762323250775,6408650164,Гиря уральская 5 кг
1123813000040,11849983704,Гантели 2х20 + штанга 40 кг
274086500325,2391366197,Электрическая беговая дорожка hasttings evok
237942250114,2117533250,Гиря 10 кг
1030581250057,10975452409,Абонемент в фитнес клуб 5 Element Афимолл-сити
1034240251061,11039353870,Штанга гриф блины диски 80 кг
79208250135,1262745107,Брусья
353654750414,3008584388,Многофункциональный спортивный комплекс AGS 2000
772309750210,7940301410,Эллиптический эргометр Carbon E907
385125500130,3243660686,Гиря Steel 4 кг
815478750262,8419543050,Силовой комплекс Weider 2980 X
50655500701,1048939375,Эллиптический тренажер Torneo Festa
441373960,393462891,Магнитная беговая дорожка
251515751923,2196074021,Велотренажёр torneo
648627750104,4921236261,Беговая дорожка smarta
176956750010,1789669457,Тренажер эллиптический Kettler Astro
689908000207,5602673117,Турник 3 в 1+ Брусья + Пресс
514791500287,5325793948,Гантели Металлические СССР 2по14и18к Разборные 80г
819306750119,8463639148,Турник 2 хвата настенного или потолочного креплени
341297250382,2908753720,Комплексный тренажёр
1103360500373,11620866739,Гантели по 10 кг
1135141750562,6327192103,"Продаю гири, 16, 20, 24, 28, 32, разборные"
371147000442,3156581084,Пара гантельпо 15 кг
19642000633,796223143,Продам механическую беговую дорожку
757072000371,6348172025,Эллиптический тренажер Torneo Stella C-507
906526750662,9629082510,"Новые тренажеры в Ижевске Доставка, гарантия 2г"
40507251101,5184838582,Эллиптический тренажер HB-8164ELL
3759504792,532145525,Тренажер силовой Life Gear
1124525250595,11858417487,Гребной тренажер kettler
1135234500156,11489964688,Велотренажеры DM и Kettler Topas
995855750210,10560718284,Эллиптический тренажер Logos XT
83179000425,1284407046,Тренажер domyos HG 60-2
402559003254,3385879203,"Продам ""штангу, гирю, гантелю"""
446887750387,3612910982,Утяжелители руки-ноги+гантели+бинты+гриф штанги
147685750069,1637709730,Турник 3 в 1 Усиленный+ Боксерская Груша
648401750498,4918845207,Пояс спортивный тяжёлоатлетический
1106518750413,11655591548,Степпер Кардиостеппер Тренажер Bradex
1135286750089,6216519462,Разборная гиря 16-24-32
496010501193,8588476125,"Гантели по 8,5 и 10 кг"
105421000016,1402505427,Продается тренажер kettler delta XL
636545002006,4798719456,Torneo
815949250823,8425360306,Беговая дорожка DFC premio T730
78952500042,1261555408,Велотренажер IPI STP-2322
1047290500011,11128814538,Шведская стенка металлическая
938618500212,10042899689,Велотренажёр в хорошем состоянии
668119500396,5125671059,Продам тренажер
1124530250965,11858349309,Эллиптический тренажер proxima enima
631374000643,4757250742,Набор для пауэрлифтинга
853496750537,9014748611,Гири по 16 кг
36252892,231226510,Эллиптический тренажер (магнитный) новый
407166000420,3356024315,Гребной тренажер Kettler Favorit 220
604144500151,4582568968,Фитнес браслет Mi Band 3
375426750626,3181278718,Беговая дорожка hasttings TR660
782581750552,8043875285,Беговая дорожка Dender Venga T-1211
810369500412,11584842192,"Утяжелители WT-401 2 кг, темно-серый, Starfit"
713521000115,5935282904,Гриф и стальной блин
257330250107,2219699460,"В коробке, новый тренажер вандер кор смарт честные"
832377500376,8617340440,Платформа балансировочная Bradex
204462751256,1919337923,Беговая дорожка Oxygen Riviera
1123474001361,11845212740,"Тренажёр Sport Elite, силовой комплекс (турник+ бр"
677406251280,5230687148,Гири 24 и 10кг
192982500121,1863319871,Беговая дорожка Diadora Razor 6.8 Dark
1135306000043,6188099785,"4 штанги Олимпийские, гири, гантели,стойки, обув"
